smiles,static_polarizability,fitness,static_polarizability_pred_original,vdw_volume,refractive_index,mw
C=CC(=O)OC(=C)C=O,0.0530564504739338,-0.0064649005356734,8.136761943314424,117.01121936125908,1.3194624367613386,126.11099999999998
C=CC(=O)OC(=C)C,0.0530564504739338,-0.0076457205292278,8.136761943314424,113.46133858219946,1.330456893151841,112.12799999999999
C=CC(=O)OC(C)CO,0.0530564504739338,-0.0088488069299167,8.136761943314424,128.2752125113325,1.289017511996965,130.143
C=CC(=O)OC(=C)C#N,0.05534893364857,-0.001005702626212,8.310207401495996,115.83442171867064,1.330599735594333,123.11099999999999
C=CC(=O)OCCC(=O)O,0.05534893364857,-0.0015566824262304,8.310207401495996,132.83400967414016,1.2847215241265215,144.126
C=CC(=O)OCC(C)=O,0.05534893364857,-0.0017029689366654,8.310207401495996,121.70095510770106,1.313158814996808,128.12699999999998
C=CC(=O)OCCCO,0.05534893364857,-0.0024995067829923,8.310207401495996,128.70801524863913,1.2946282005889995,130.143
C=CC(=O)OCC(F)(F)C(F)F,0.05534893364857,-0.0056378012781305,8.310207401495996,140.86534273633035,1.267252977529487,186.10399999999998
C=CC(=O)OC(O)CCO,0.05534893364857,-0.0084823360924883,8.310207401495996,138.458404985557,1.2722561087552833,146.14199999999997
C=CC(=O)OCC(C)O,0.0576414168232062,-0.0011967905216791,8.483652859677566,129.21615739849204,1.3000307165088512,130.143
C=CC(=O)OCCS,0.0576414168232062,-0.0012160241954901,8.483652859677566,120.9965328646727,1.3223681965573588,132.184
C=CC(=O)OCC(O)CO,0.0576414168232062,-0.0021379254407307,8.483652859677566,137.95852931288516,1.279477834094516,146.14199999999997
C=CC(=O)OCC(=O)OC,0.0576414168232062,-0.0142188854866602,8.483652859677566,132.21400706416745,1.2926459181274703,144.12599999999998
C=CC(=O)OCCI,0.0599338999978424,-0.0007056714006542,8.657098317859134,133.17124434049816,1.296814545955694,226.01299999999998
C=CC(=O)OCC(N)C(=O)O,0.0599338999978424,-0.001051358043325,8.657098317859134,143.61181912766824,1.2735353825352298,159.141
C=CC(=O)OCOP(=O)(O)O,0.0599338999978424,-0.0013283052452682,8.657098317859134,144.06047061243189,1.272617622778615,182.06799999999998
C=CC(=O)OCCN=C=O,0.0599338999978424,-0.0018921093054889,8.657098317859134,129.2740727488895,1.3065695356477285,141.126
C=CC(=O)OCCCC,0.0622263831724786,-0.0003088059196806,8.830543776040702,138.03040173868442,1.291702354898676,128.171
C=CC(=O)OC1CCCO1,0.0622263831724786,-0.0011550320019387,8.830543776040702,134.73988293969535,1.2994489359770365,142.154
C=CC(=O)Oc1ccn[nH]1,0.0622263831724786,-0.0041601864328049,8.830543776040702,121.98408329677989,1.3338942954280877,138.12599999999998
C=CC(=O)OCNC=C,0.0622263831724786,-0.0130031613340043,8.830543776040702,125.70204558548475,1.3230491922966316,127.14299999999999
C=CC(=O)OCC(C)Cl,0.0645188663471147,-0.0007622938286855,9.003989234222267,134.82536730976324,1.3056490104346294,148.589
C=CC(=O)OCCCBr,0.0645188663471147,-0.0007747288477018,9.003989234222267,139.27910668472742,1.295028325249239,193.04
C=CC(=O)OC1C=CS1,0.0645188663471147,-0.000978070093353,9.003989234222267,122.45646270664434,1.3396857459393805,142.17899999999997
C=CC(=O)OCCCC#N,0.0645188663471147,-0.0023466322887346,9.003989234222267,138.8869960447274,1.2959332212178358,139.154
C=CC(=O)OCC(=C)C,0.0645188663471147,-0.0047308851349756,9.003989234222267,130.30356522322066,1.317257546170482,126.15499999999999
C=CC(=O)OC1COC(=O)C1,0.066811349521751,-0.0003779415978245,9.177434692403844,139.13650587107958,1.3015490063820288,156.13699999999997
