,y,pred
590,0.3238601,0.28913236
591,0.32462156,0.35691994
592,0.32469288,0.32669953
593,0.32479978,0.3253922
594,0.32483542,0.306652
595,0.32557935,0.30386856
596,0.32558146,0.3354553
597,0.32566613,0.30040202
598,0.3256796,0.33994013
599,0.3261129,0.27977684
600,0.3262005,0.3836064
601,0.32624355,0.3203552
602,0.326309,0.31461146
603,0.32634202,0.33811647
604,0.32635504,0.32083255
605,0.32645854,0.37747055
606,0.3264942,0.32834384
607,0.32651782,0.3409862
608,0.32674316,0.3393455
609,0.32686293,0.33038235
610,0.3269723,0.31720975
611,0.32712528,0.32633153
612,0.32723212,0.3334185
613,0.32736978,0.32027066
614,0.32738206,0.33909848
615,0.32748398,0.3276035
616,0.32753125,0.3185913
617,0.32771882,0.33291128
618,0.32801783,0.3197096
619,0.3281345,0.3118736
620,0.32821372,0.29948267
621,0.32834515,0.3494159
622,0.32834783,0.32785425
623,0.3284586,0.32837796
624,0.328682,0.34897906
625,0.32874236,0.34564316
626,0.32904404,0.3466097
627,0.32931063,0.32945874
628,0.32940778,0.32517695
629,0.32950842,0.33763131
630,0.32979795,0.30876794
631,0.33011317,0.3253385
632,0.3310289,0.3222502
633,0.33108875,0.32746845
634,0.3311914,0.3295642
635,0.33122653,0.31835535
636,0.33143649,0.34092635
637,0.33145064,0.33922142
638,0.33172542,0.3213537
639,0.331894,0.37982592
640,0.3320488,0.38449687
641,0.3323589,0.31163344
642,0.3325757,0.34925276
643,0.33262858,0.324135
644,0.33291155,0.37051964
645,0.33294612,0.35458496
646,0.33300132,0.3224465
647,0.33306673,0.36900562
648,0.33311018,0.3362774
649,0.33322665,0.34142786
650,0.33344206,0.31395882
651,0.33366913,0.3339831
652,0.3336947,0.34994856
653,0.33378503,0.34174934
654,0.33382803,0.33975795
655,0.33387178,0.3377794
656,0.33391702,0.35391253
657,0.33406088,0.33941323
658,0.33413792,0.37338945
659,0.33420113,0.35721093
660,0.33422628,0.3678088
661,0.3343771,0.3435323
662,0.33439657,0.3541776
663,0.33440453,0.3511948
664,0.33440787,0.35071588
665,0.33441678,0.3356335
666,0.33444372,0.35008034
667,0.33445865,0.31267184
668,0.33474404,0.31732255
669,0.33490032,0.3256153
670,0.33573374,0.36770055
671,0.33581546,0.30986533
672,0.33639804,0.3228318
673,0.33681554,0.33832505
674,0.33694854,0.34328932
675,0.33695307,0.33294576
676,0.33727124,0.3186183
677,0.33741534,0.3453172
678,0.33741724,0.329922
679,0.33759913,0.34595087
680,0.33770794,0.3438666
681,0.33803567,0.39490694
682,0.33833456,0.38483143
683,0.33834004,0.31058115
684,0.3384458,0.35375148
685,0.33845192,0.3757608
686,0.33862737,0.3320318
687,0.33865774,0.3498964
688,0.33908427,0.3357119
689,0.33908963,0.33885375
690,0.33916757,0.32729036
691,0.3393625,0.3483175
692,0.33966684,0.33723688
693,0.33966875,0.33343264
694,0.33981186,0.37752652
695,0.339821,0.34156334
696,0.34006482,0.34403962
697,0.34030923,0.34098548
698,0.3404604,0.3442156
699,0.34065828,0.36853924
700,0.34072578,0.32990038
701,0.34084454,0.3586533
702,0.34089866,0.3361759
703,0.34092128,0.34521127
704,0.341031,0.34541115
705,0.34110266,0.369623
706,0.3411589,0.32725596
707,0.34117168,0.36050436
708,0.34123486,0.36101854
709,0.34124994,0.37342185
710,0.34137827,0.31466427
711,0.34143004,0.34437433
712,0.34151727,0.3449443
713,0.34162983,0.38112965
714,0.34168488,0.3529425
715,0.3418628,0.3353418
716,0.3422105,0.3652185
717,0.34231198,0.34264794
718,0.3427009,0.35313457
719,0.34272167,0.35933822
720,0.34277514,0.33654726
721,0.34283984,0.3281131
722,0.3428952,0.36114955
723,0.3429441,0.3246916
724,0.3431696,0.33099595
725,0.3431719,0.32373065
726,0.34339505,0.33886015
727,0.34352112,0.38870043
728,0.3436656,0.37497386
729,0.34401274,0.34499085
730,0.3441878,0.35056108
731,0.34420744,0.36039132
732,0.34420854,0.3375029
733,0.34433135,0.37061775
734,0.34434226,0.35382837
735,0.34453803,0.35948586
736,0.34464207,0.36906743
737,0.3446472,0.36246264
738,0.34466633,0.3483843
739,0.3449228,0.38375497
740,0.3449538,0.36797953
741,0.34507856,0.37929562
742,0.34514317,0.35164014
743,0.3451906,0.35080427
744,0.3452603,0.36669937
745,0.34548554,0.34093592
746,0.3455321,0.38217252
747,0.3457045,0.36374426
748,0.3457637,0.350208
749,0.3459896,0.3222849
750,0.3466696,0.38123718
751,0.34685114,0.35729325
752,0.34690925,0.35598063
753,0.34698915,0.39802828
754,0.34703487,0.35350654
755,0.3472634,0.3265652
756,0.34748062,0.37527344
757,0.34749117,0.36534855
758,0.34749317,0.34245917
759,0.34752882,0.37182766
760,0.34753305,0.3691045
761,0.34761858,0.3483645
762,0.34809566,0.34846202
763,0.3481131,0.31446984
764,0.3481504,0.3325656
765,0.34823555,0.33750013
766,0.3485273,0.35934675
767,0.34861046,0.3980419
768,0.34883463,0.331547
769,0.34888342,0.36194143
770,0.3489284,0.3302678
771,0.34898853,0.35450673
772,0.34905928,0.3739782
773,0.34909195,0.36130917
774,0.3494444,0.35271412
775,0.34951377,0.33794343
776,0.34964943,0.33105946
777,0.34972656,0.37853155
778,0.3498809,0.36695915
779,0.35023138,0.35671484
780,0.35049355,0.349023
781,0.35059407,0.34398618
782,0.3506302,0.34595022
783,0.35063523,0.3317049
784,0.3507439,0.33038238
785,0.35120142,0.3215825
786,0.35125655,0.32927853
787,0.3512994,0.35296446
788,0.35130438,0.38918436
789,0.3514875,0.34781933
790,0.3515809,0.33246243
791,0.35166532,0.34182933
792,0.35171646,0.37820414
793,0.35175017,0.35113984
794,0.35196373,0.356081
795,0.3519664,0.36830157
796,0.35208648,0.3640395
797,0.3522219,0.33026272
798,0.35264128,0.36613655
799,0.35276565,0.36831328
800,0.3528297,0.35160112
801,0.35283303,0.33583483
802,0.3529606,0.33229834
803,0.35302433,0.34800988
804,0.3531133,0.35492548
805,0.35321528,0.3739016
806,0.3533013,0.35351527
807,0.3533876,0.36260262
808,0.35387713,0.36225814
809,0.3542733,0.41757753
810,0.35435107,0.3540361
811,0.35436153,0.3894071
812,0.3545172,0.36066812
813,0.35480675,0.3709599
814,0.3548773,0.35867682
815,0.35540673,0.3639849
816,0.3554517,0.39269692
817,0.3556367,0.3914545
818,0.35585836,0.35319293
819,0.35591647,0.36611238
820,0.35597506,0.33591247
821,0.3560703,0.34910953
822,0.35608238,0.34760603
823,0.35618034,0.39453125
824,0.35625976,0.35368443
825,0.3563401,0.3598097
826,0.35644537,0.3957801
827,0.35644794,0.35599068
828,0.35681778,0.37820446
829,0.35710496,0.36325526
830,0.3578291,0.3947636
831,0.35791683,0.37503254
832,0.35809898,0.36778766
833,0.35830304,0.34797567
834,0.3583494,0.38134146
835,0.3583514,0.33815366
836,0.3583823,0.33901626
837,0.3586623,0.3731208
838,0.35880226,0.33334425
839,0.35887048,0.35095236
840,0.35914612,0.38853717
841,0.3591621,0.2817944
842,0.35921103,0.36211866
843,0.35927024,0.36559278
844,0.3595592,0.35026574
845,0.35972023,0.38660428
846,0.35975245,0.3770349
847,0.35978156,0.36078587
848,0.359903,0.38274387
849,0.3600929,0.36160016
850,0.3601888,0.3565145
851,0.36031777,0.36374512
852,0.36032262,0.376243
853,0.3604251,0.35538468
854,0.36072212,0.35840923
855,0.3607688,0.39512596
856,0.36082828,0.38201618
857,0.3608566,0.38477993
858,0.36089456,0.37839815
859,0.3611302,0.39870757
860,0.36119866,0.38696098
861,0.36154124,0.3746882
862,0.361665,0.34646177
863,0.36167833,0.37693077
864,0.3617568,0.39248338
865,0.36179096,0.34582818
866,0.36181614,0.3471923
867,0.36200032,0.39195478
868,0.36223483,0.350294
869,0.36227342,0.35146302
870,0.3624204,0.3465435
871,0.3625304,0.38785946
872,0.36256152,0.34116295
873,0.3627974,0.36064214
874,0.36295068,0.38603377
875,0.3630851,0.3565073
876,0.36329716,0.34767246
877,0.36367872,0.38265193
878,0.3639982,0.42965958
879,0.36406428,0.37051588
880,0.36435154,0.34622496
881,0.3645524,0.39132845
882,0.36462602,0.36919752
883,0.36466694,0.35215545
884,0.36466822,0.3593854
885,0.3646941,0.37918818
